"QTAG","NumOfCorrect","NumOfAnswer","CorrectProportion","TEXT"
"Q1",40133,40426,0.992752189185178,"【詞彙】以下邊一個係廣東話嘅常用詞？ [分數]"
"Q2",40250,40328,0.998065859948423,"【詞彙】以下邊一個係廣東話嘅常用詞？ [分數]_1"
"Q3",40227,40398,0.995767117184019,"【詞彙】以下邊一個係廣東話嘅常用詞？ [分數]_2"
"Q4",40107,40395,0.992870404753064,"【詞彙】以下邊一個係廣東話嘅常用詞？ [分數]_3"
"Q5",40225,40391,0.995890173553514,"【詞彙】以下邊一個係廣東話嘅常用詞？ [分數]_4"
"Q6",40143,40402,0.993589426266026,"【詞彙】以下邊一個係廣東話嘅常用詞？ [分數]_5"
"Q7",40203,40392,0.995320855614973,"【詞彙】以下邊個係「蟑螂」嘅廣東話？ [分數]"
"Q8",40290,40416,0.99688242280285,"【詞彙】以下邊個詞係「有」嘅相反？ [分數]"
"Q9",29722,40437,0.735019907510448,"【詞彙】「先生」可以表達以下邊啲意思？（多選） [分數]"
"Q10",25663,40433,0.634704325674573,"【詞彙】以下邊啲係廣東話有機會用到嘅量詞？（多選） [分數]"
"Q11",39011,40401,0.965594911017054,"【詞彙配搭】喺廣東話「車」嘅量詞係咩？ [分數]"
"Q12",36671,40391,0.907900274813696,"【詞彙配搭】喺廣東話「樹」嘅量詞係咩？ [分數]"
"Q13",38076,40370,0.943175625464454,"【詞彙配搭】以下邊個 *唔係* 廣東話「屎」嘅量詞？ [分數]"
"Q14",33922,40376,0.840152565880721,"【詞彙配搭】以下邊個 *唔係* 廣東話「樓」嘅量詞？ [分數]"
"Q15a",38815,40221,0.965043136669899,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [紅] [分數]"
"Q15b",31779,37104,0.85648447606727,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [橙] [分數]"
"Q15c",37714,39955,0.9439119008885,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [黃] [分數]"
"Q15d",38754,40118,0.966000299117603,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [青] [分數]"
"Q15e",31291,35126,0.890821613619541,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [藍] [分數]"
"Q15f",37471,40136,0.933600757424756,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [黑] [分數]"
"Q15g",34052,39586,0.860203102106805,"【詞彙配搭】以下顏色詞，分別對應邊啲後綴？ [白] [分數]"
"Q16",39990,40408,0.989655513759652,"【語法】以下邊句符合廣東話嘅語法？ [分數]"
"Q17",39113,40386,0.968479175952063,"【語法】以下邊句符合廣東話嘅語法？ [分數]_1"
"Q18",34266,40378,0.848630442320075,"【語法】以下邊句 *唔符合* 廣東話嘅語法？ [分數]"
"Q19",39795,40388,0.985317421016143,"【語法】以下邊句 *唔符合* 廣東話嘅語法？ [分數]_1"
"Q20",37832,40327,0.938130780866417,"【語法】以下邊句 *唔符合* 廣東話嘅語法？ [分數]_2"
"Q21",35768,40329,0.886905204691413,"【語法】以下邊句 *唔符合* 廣東話嘅語法？ [分數]_3"
"Q22",39800,40323,0.987029734890757,"【語法】以下邊句 *唔符合* 廣東話嘅語法？ [分數]_4"
"Q23",35247,40353,0.873466656754145,"【語法】以下邊道菜式唔成立？ [分數]"
"Q24",39463,40333,0.978429573798131,"【發音】以下邊個字係「力」嘅同音字？ [分數]"
"Q25",39093,40342,0.969039710475435,"【發音】以下邊個字係「執」嘅同音字？ [分數]"
"Q26a",39526,40258,0.981817278553331,"【發音】請配對同音字嘅組合： [守] [分數]"
"Q26b",35546,40279,0.882494600163857,"【發音】請配對同音字嘅組合： [瘦] [分數]"
"Q26c",39417,40310,0.977846688166708,"【發音】請配對同音字嘅組合： [仇] [分數]"
"Q26d",33097,39974,0.827963176064442,"【發音】請配對同音字嘅組合： [受] [分數]"
"Q26e",39495,40308,0.979830306638881,"【發音】請配對同音字嘅組合： [收] [分數]"
"Q27",6647,40270,0.165060839334492,"【發音】以下邊組 *唔係* 同音字？（多選） [分數]"
"Q28",12009,39731,0.302257682917621,"【發音】以下邊組 *唔係* 同音字？（多選） [分數]_1"
"Q29",35089,40268,0.871386709049369,"【詞義】以下邊個講法係貶義嘅？ [分數]"
"Q30",38729,40172,0.964079458329185,"【詞義】以下邊個詞嘅常用語義係由隱喻引伸而嚟？ [分數]"
"Q31",39059,40140,0.973069257598406,"【詞義】以下邊個詞嘅常用語義係由隱喻引伸而嚟？ [分數]_1"
"Q32",37942,40202,0.943783891348689,"【詞義】以下邊一個「畀」字嘅用法 *唔係* 表示「給予」？ [分數]"
"Q33",39416,40161,0.981449665097981,"【詞義】以下邊一個「等」字嘅用法 *唔係* 表示「等待」？ [分數]"
"Q34",34208,40090,0.853280119730606,"【俗語】「風吹雞蛋殻」下一句係咩？ [分數]"
"Q35",36929,40120,0.920463609172483,"【俗語】「一竹篙」係打晒咩呢？ [分數]"
"Q36",34112,40084,0.85101287296677,"【俗語】「未＿＿＿＿，寒衣未入櫳」入面應該填： [分數]"
"Q37",25401,40202,0.631834237102632,"【俗語】以下邊句嘅「鬼」字位置出咗問題？（多選） [分數]"
"Q38",36418,40147,0.90711634742322,"【俗語】以下邊個講法係我哋 *唔常用* 嘅？ [分數]"
"Q39",20085,39953,0.502715690936851,"【俗語】「M」某樣嘢係咩意思？ [分數]"
"Q40",8778,40101,0.218897284356999,"【俗語】邊個字可以當及物動詞（transitive verb）同埋形容詞使用？（多選） [分數]"
"Q41a",34991,40040,0.873901098901099,"【發音】請配對同音字嘅組合： [恒] [分數]"
"Q41b",39102,40086,0.975452776530459,"【發音】請配對同音字嘅組合： [幸] [分數]"
"Q41c",23520,39951,0.588721183449726,"【發音】請配對同音字嘅組合： [痕] [分數]"
"Q41d",38727,40073,0.966411299378634,"【發音】請配對同音字嘅組合： [很] [分數]"
"Q42",15922,40106,0.396997955418142,"【發音】以下邊個字嘅聲母同「國」一樣？ [分數]"
"Q43",12130,40066,0.302750461738132,"【發音】以下邊個字嘅韻母同「麥」一樣？ [分數]"
"Q44",12960,39963,0.324299977479168,"【發音】以下邊個字嘅聲調同「市」一樣？ [分數]"
"Q45",19886,40009,0.497038166412557,"【變調文白讀】以下邊個詞語冇變調？ [分數]"
